TIME;VAL_1;VAL_2;VAL_3
03/03/2012 14:00;1;1000;1
03/03/2012 14:15;3;999;2
03/03/2012 14:30;5;998;3
03/03/2012 14:45;7;997;4
03/03/2012 15:00;9;996;5
03/03/2012 15:15;11;995;6
03/03/2012 15:30;13;994;7
03/03/2012 15:45;15;993;8
03/03/2012 16:00;17;992;9
03/03/2012 16:15;19;991;10
03/03/2012 16:30;21;990;11
03/03/2012 16:45;23;989;12
03/03/2012 17:00;25;988;13
03/03/2012 17:15;27;987;14
03/03/2012 17:30;29;986;15
03/03/2012 17:45;31;985;16
03/03/2012 18:00;33;984;17
03/03/2012 18:15;35;983;18
03/03/2012 18:30;37;982;19
03/03/2012 18:45;39;981;20
03/03/2012 19:00;41;980;21
03/03/2012 19:15;43;979;22
03/03/2012 19:30;45;978;23
03/03/2012 19:45;47;977;24
03/03/2012 20:00;49;976;25
03/03/2012 20:15;51;975;26
03/03/2012 20:30;53;974;27
03/03/2012 20:45;55;973;28
03/03/2012 21:00;57;972;29
03/03/2012 21:15;59;971;30
03/03/2012 21:30;61;970;31
03/03/2012 21:45;63;969;32
03/03/2012 22:00;65;968;33
03/03/2012 22:15;67;967;34
03/03/2012 22:30;69;966;35
03/03/2012 22:45;71;965;36
03/03/2012 23:00;73;964;37
03/03/2012 23:15;75;963;38
03/03/2012 23:30;77;962;39
03/03/2012 23:45;79;961;40
04/03/2012 00:00;81;960;41
04/03/2012 00:15;83;959;42
04/03/2012 00:30;85;958;43
04/03/2012 00:45;87;957;44
04/03/2012 01:00;89;956;45
04/03/2012 01:15;91;955;46
04/03/2012 01:30;93;954;47
04/03/2012 01:45;95;953;48
04/03/2012 02:00;97;952;49
04/03/2012 02:15;99;951;50
04/03/2012 02:30;101;950;51
04/03/2012 02:45;103;949;52
04/03/2012 03:00;105;948;53
04/03/2012 03:15;107;947;54
04/03/2012 03:30;109;946;55
04/03/2012 03:45;111;945;56
04/03/2012 04:00;113;944;57
04/03/2012 04:15;115;943;58
04/03/2012 04:30;117;942;59
04/03/2012 04:45;119;941;60
04/03/2012 05:00;121;940;61
04/03/2012 05:15;123;939;62
04/03/2012 05:30;125;938;63
04/03/2012 05:45;127;937;64
04/03/2012 06:00;129;936;65
04/03/2012 06:15;131;935;66
04/03/2012 06:30;133;934;67
04/03/2012 06:45;135;933;68
04/03/2012 07:00;137;932;69
04/03/2012 07:15;139;931;70
04/03/2012 07:30;141;930;71
04/03/2012 07:45;143;929;72
04/03/2012 08:00;145;928;73
04/03/2012 08:15;147;927;74
04/03/2012 08:30;149;926;75
04/03/2012 08:45;151;925;76
04/03/2012 09:00;153;924;77
04/03/2012 09:15;155;923;78
04/03/2012 09:30;157;922;79
04/03/2012 09:45;159;921;80
04/03/2012 10:00;161;920;81
04/03/2012 10:15;163;919;82
04/03/2012 10:30;165;918;83
04/03/2012 10:45;167;917;84
04/03/2012 11:00;169;916;85
04/03/2012 11:15;171;915;86
04/03/2012 11:30;173;914;87
04/03/2012 11:45;175;913;88
04/03/2012 12:00;177;912;89
04/03/2012 12:15;179;911;90
04/03/2012 12:30;181;910;91
04/03/2012 12:45;183;909;92
04/03/2012 13:00;185;908;93
04/03/2012 13:15;187;907;94
04/03/2012 13:30;189;906;95
04/03/2012 13:45;191;905;96
04/03/2012 14:00;193;904;97
04/03/2012 14:15;195;903;98
04/03/2012 14:30;197;902;99
04/03/2012 14:45;199;901;100
04/03/2012 15:00;201;900;101
04/03/2012 15:15;203;899;102
04/03/2012 15:30;205;898;103
04/03/2012 15:45;207;897;104
04/03/2012 16:00;209;896;105
04/03/2012 16:15;211;895;106
04/03/2012 16:30;213;894;107
04/03/2012 16:45;215;893;108
04/03/2012 17:00;217;892;109
04/03/2012 17:15;219;891;110
04/03/2012 17:30;221;890;111
04/03/2012 17:45;223;889;112
04/03/2012 18:00;225;888;113
04/03/2012 18:15;227;887;114
04/03/2012 18:30;229;886;115
04/03/2012 18:45;231;885;116
04/03/2012 19:00;233;884;117
04/03/2012 19:15;235;883;118
04/03/2012 19:30;237;882;119
04/03/2012 19:45;239;881;120
04/03/2012 20:00;241;880;121
04/03/2012 20:15;243;879;122
04/03/2012 20:30;245;878;123
04/03/2012 20:45;247;877;124
04/03/2012 21:00;249;876;125
04/03/2012 21:15;251;875;126
04/03/2012 21:30;253;874;127
04/03/2012 21:45;255;873;128
04/03/2012 22:00;257;872;129
04/03/2012 22:15;259;871;130
04/03/2012 22:30;261;870;131
04/03/2012 22:45;263;869;132
04/03/2012 23:00;265;868;133
04/03/2012 23:15;267;867;134
04/03/2012 23:30;269;866;135
04/03/2012 23:45;271;865;136
05/03/2012 00:00;273;864;137
05/03/2012 00:15;275;863;138
05/03/2012 00:30;277;862;139
05/03/2012 00:45;279;861;140
05/03/2012 01:00;281;860;141
05/03/2012 01:15;283;859;142
05/03/2012 01:30;285;858;143
05/03/2012 01:45;287;857;144
05/03/2012 02:00;289;856;145
05/03/2012 02:15;291;855;146
05/03/2012 02:30;293;854;147
05/03/2012 02:45;295;853;148
05/03/2012 03:00;297;852;149
05/03/2012 03:15;299;851;150
05/03/2012 03:30;301;850;151
05/03/2012 03:45;303;849;152
05/03/2012 04:00;305;848;153
05/03/2012 04:15;307;847;154
05/03/2012 04:30;309;846;155
05/03/2012 04:45;311;845;156
05/03/2012 05:00;313;844;157
05/03/2012 05:15;315;843;158
05/03/2012 05:30;317;842;159
05/03/2012 05:45;319;841;160
05/03/2012 06:00;321;840;161
05/03/2012 06:15;323;839;162
05/03/2012 06:30;325;838;163
05/03/2012 06:45;327;837;164
05/03/2012 07:00;329;836;165
05/03/2012 07:15;331;835;166
05/03/2012 07:30;333;834;167
05/03/2012 07:45;335;833;168
05/03/2012 08:00;337;832;169
05/03/2012 08:15;339;831;170
05/03/2012 08:30;341;830;171
05/03/2012 08:45;343;829;172
05/03/2012 09:00;345;828;173
05/03/2012 09:15;347;827;174
05/03/2012 09:30;349;826;175
05/03/2012 09:45;351;825;176
05/03/2012 10:00;353;824;177
05/03/2012 10:15;355;823;178
05/03/2012 10:30;357;822;179
05/03/2012 10:45;359;821;180
05/03/2012 11:00;361;820;181
05/03/2012 11:15;363;819;182
05/03/2012 11:30;365;818;183
05/03/2012 11:45;367;817;184
05/03/2012 12:00;369;816;185
05/03/2012 12:15;371;815;186
05/03/2012 12:30;373;814;187
05/03/2012 12:45;375;813;188
05/03/2012 13:00;377;812;189
05/03/2012 13:15;379;811;190
